지점,account_name,industry_name,new_cluster,address_road,employee_count,found_website,emails
건대,Gangnam Finance Partners,Finance and investment,Finance/Investment,101 Teheran-ro Gangnam-gu Seoul,310.0,https://www.superookie.com,
건대,Seongsu Media Lab,Media production,Media/Entertain/Production,22 Seongsu-ro Seongdong-gu Seoul,65.0,https://job.bsks.ac.kr,
건대,삼성에스디에스(주),응용 소프트웨어 개발 및 공급업,Tech/Startup/SaaS,서울특별시 송파구 올림픽로35길,11414.0,https://www.samsungsds.com,
건대,수협은행,국내은행,Finance/Investment,서울특별시 송파구 오금로,1946.0,https://www.suhyup-bank.com,
건대,코리아세븐(주),상품 종합 도매업,Logistics/Trading,서울특별시 강동구 천호대로,1874.0,https://www.7-eleven.co.kr,
건대,주식회사 무신사,응용 소프트웨어 개발 및 공급업,Tech/Startup/SaaS,서울특별시 성동구 아차산로13길,1817.0,https://www.musinsa.com,
건대,미라콤아이앤씨(주),응용 소프트웨어 개발 및 공급업,Tech/Startup/SaaS,서울특별시 송파구 올림픽로35길,1737.0,https://miracom-inc.com,
건대,롯데컬처웍스(주),영화관 운영업,Media/Entertain/Production,서울특별시 송파구 올림픽로,1481.0,https://www.ezday.co.kr,marketing@ezday.co.kr; ezday@ezday.co.kr
건대,대원제약주식회사,완제 의약품 제조업,Healthcare/Pharma,서울특별시 성동구 천호대로,1327.0,https://www.daewonpharm.com,sijung@daewonpharm.com
건대,현대하이카손해사정(주),보험 대리 및 중개업,Finance/Investment,서울특별시 송파구 송파대로,1153.0,https://www.hicar.co.kr,
건대,(주)이글루코퍼레이션,응용 소프트웨어 개발 및 공급업,Tech/Startup/SaaS,서울특별시 송파구 정의로8길,1116.0,https://www.igloo.co.kr,
건대,(주)희림종합건축사사무소,기타 엔지니어링 서비스업,Consulting/Professional Service,서울특별시 강동구 상일로6길,1032.0,https://www.heerim.com,recruit@heerim.com; webmaster@heerim.com; hotline_em@heerim.com
건대,현대홈쇼핑(주),방송 프로그램 제작업,Media/Entertain/Production,서울특별시 강동구 올림픽로70길,1006.0,https://www.hmall.com,
건대,(주)이마트24,상품 종합 도매업,Logistics/Trading,서울특별시 성동구 광나루로,940.0,https://www.emart24.co.kr,
건대,한양대학교 산학협력단,기타 인문 및 사회과학 연구개발업,Media/Entertain/Production,서울특별시 성동구 왕십리로,850.0,http://www.kyosu.net,editor@kyosu.net
건대,(주)삼우씨엠건축사사무소,건축 설계 및 관련 서비스업,Consulting/Professional Service,서울특별시 송파구 백제고분로,808.0,https://www.samoocm.com,
건대,주식회사 동해종합기술공사,기타 엔지니어링 서비스업,Consulting/Professional Service,서울특별시 성동구 광나루로6길,789.0,https://weseb.com,
건대,(주)수성엔지니어링,기타 엔지니어링 서비스업,Consulting/Professional Service,서울특별시 송파구 정의로8길,738.0,https://www.soosungeng.com,
건대,한국아이큐비아 주식회사,의료 기기 도매업,Healthcare/Pharma,서울특별시 송파구 송파대로,726.0,https://www.iqvia.com,
건대,해양환경공단,외항 화물 운송업,Logistics/Trading,서울특별시 송파구 송파대로28길,713.0,https://www.koem.or.kr,
건대,환인제약(주),완제 의약품 제조업,Healthcare/Pharma,서울특별시 송파구 법원로6길,640.0,https://www.whanin.com,
건대,서울올림픽기념국민체육진흥공단,광고 대행업,Media/Entertain/Production,서울특별시 송파구 올림픽로,615.0,http://www.kyosu.net,editor@kyosu.net
건대,주식회사 에이피알,응용 소프트웨어 개발 및 공급업,Tech/Startup/SaaS,서울특별시 송파구 올림픽로,612.0,https://www.apr-in.com,
건대,영진약품(주),완제 의약품 제조업,Healthcare/Pharma,서울특별시 송파구 올림픽로35다길,611.0,https://www.yungjin.co.kr,
건대,(주)동일기술공사,기타 엔지니어링 서비스업,Consulting/Professional Service,서울특별시 송파구 송이로30길,537.0,http://www.dongileng.co.kr,
건대,오티스서비스엑스퍼트유한회사,상품 종합 도매업,Logistics/Trading,서울특별시 강동구 성내로6길,523.0,https://bizno.net,
건대,데상트코리아주식회사,상품 종합 도매업,Logistics/Trading,서울특별시 송파구 올림픽로,470.0,http://fpost.co.kr,
건대,와이즈와이어즈(주),응용 소프트웨어 개발 및 공급업,Tech/Startup/SaaS,서울특별시 성동구 성수일로,454.0,https://www.wisewires.com,
건대,더화이트커뮤니케이션(주),응용 소프트웨어 개발 및 공급업,Tech/Startup/SaaS,서울특별시 성동구 성수이로24길,448.0,http://www.thewc.co.kr,help@thewc.co.kr
건대,에이앤유디자인그룹건축사사무소(주),건축 설계 및 관련 서비스업,Consulting/Professional Service,서울특별시 송파구 충민로,438.0,https://2102change.rank365.co.kr,
건대,(주)건축사사무소건원엔지니어링,건축 설계 및 관련 서비스업,Consulting/Professional Service,서울특별시 송파구 송파대로,430.0,https://consline.co.kr,
건대,(주)제너시스비비큐,상품 종합 도매업,Logistics/Trading,서울특별시 송파구 중대로,430.0,http://www.genesiskorea.co.kr,
건대,(주)동구바이오제약,완제 의약품 제조업,Healthcare/Pharma,서울특별시 송파구 법원로,428.0,https://www.dongkoo.com,
건대,현대에이치디에스(주),응용 소프트웨어 개발 및 공급업,Tech/Startup/SaaS,서울특별시 송파구 송파대로,402.0,https://www.hyundaihds.co.kr,
건대,에스코어주식회사,응용 소프트웨어 개발 및 공급업,Tech/Startup/SaaS,서울특별시 송파구 올림픽로35길,401.0,https://brunch.co.kr,
건대,인카금융서비스(주),응용 소프트웨어 개발 및 공급업,Tech/Startup/SaaS,서울특별시 성동구 아차산로,389.0,https://www.incar.co.kr,
건대,(주)시지바이오,전기식 진단 및 요법 기기 제조업,Healthcare/Pharma,서울특별시 성동구 상원12길,361.0,https://www.cgbio.co.kr,cgwebmaster@cgbio.co.kr; iriskim@cgbio.co.kr
건대,칼자이스(주),상품 종합 도매업,Logistics/Trading,서울특별시 송파구 법원로,352.0,https://www.zeiss.co.kr,
건대,클리오(주),상품 종합 도매업,Logistics/Trading,서울특별시 성동구 왕십리로,352.0,https://www.cliocosmetic.com,sykim1@clio.co.kr; clioir@clio.co.kr; ebcha1208@clio.co.kr
건대,(주)에코마케팅,기타 엔지니어링 서비스업,Consulting/Professional Service,서울특별시 송파구 올림픽로35다길,346.0,https://echomarketing.co.kr,
건대,건국대학교산학협력단,기타 인문 및 사회과학 연구개발업,Media/Entertain/Production,서울특별시 광진구 자양로,335.0,https://research.konkuk.ac.kr,
건대,(주)녹십자웰빙,완제 의약품 제조업,Healthcare/Pharma,서울특별시 성동구 왕십리로,327.0,https://www.ppomppu.co.kr,webmaster@ppomppu.co.kr
건대,이카운트(주),응용 소프트웨어 개발 및 공급업,Tech/Startup/SaaS,서울특별시 강동구 고덕비즈밸리로6길,326.0,https://www.ecount.com,askmail@ecount.com
건대,에이스메디칼(주),전기식 진단 및 요법 기기 제조업,Healthcare/Pharma,서울특별시 강동구 고덕비즈밸리로4길,317.0,https://weseb.com,
건대,주식회사 블루어드,응용 소프트웨어 개발 및 공급업,Tech/Startup/SaaS,서울특별시 송파구 법원로9길,315.0,https://career.axzcorp.com,careers@axzcorp.com
건대,한국환경보전원,환경 관련 엔지니어링 서비스업,Consulting/Professional Service,서울특별시 성동구 광나루로,307.0,https://www.keci.or.kr,
건대,세종대학교산학협력단,기타 인문 및 사회과학 연구개발업,Media/Entertain/Production,서울특별시 광진구 능동로,304.0,http://rnd.sejong.ac.kr,
건대,알서포트 주식회사,응용 소프트웨어 개발 및 공급업,Tech/Startup/SaaS,서울특별시 강동구 고덕비즈밸리로2가길,304.0,https://www.rsupport.com,sales.kr@rsupport.com
건대,(주)플래티어,응용 소프트웨어 개발 및 공급업,Tech/Startup/SaaS,서울특별시 송파구 법원로9길,300.0,https://www.plateer.com,
건대,(주)토문엔지니어링건축사사무소,기타 엔지니어링 서비스업,Consulting/Professional Service,서울특별시 송파구 충민로,299.0,https://www.tomoon.co.kr,
건대,노보노디스크제약(주),의약품 도매업,Healthcare/Pharma,서울특별시 송파구 올림픽로35길,297.0,https://www.novonordisk.co.kr,infokorea@novonordisk.com
건대,(주)신도리코,사무용 기계 및 장비 제조업,Manufacturing/Industrial Ops,서울특별시 성동구 성수이로24길,294.0,https://www.sindoh.com,
건대,(주)이씨오,응용 소프트웨어 개발 및 공급업,Tech/Startup/SaaS,서울특별시 성동구 광나루로6길,285.0,http://www.eco.co.kr,E-mail.sales@eco.co.kr
건대,(주)한국에스웨이,경영 컨설팅업,Consulting/Professional Service,서울특별시 강동구 천호대로,283.0,http://www.s-waykorea.com,7777@s-waykorea.com
건대,(주)보령바이오파마,완제 의약품 제조업,Healthcare/Pharma,서울특별시 강동구 고덕비즈밸리로2길,280.0,https://www.boryungbio.co.kr,
건대,(주)키다리스튜디오,응용 소프트웨어 개발 및 공급업,Tech/Startup/SaaS,서울특별시 성동구 연무장11길,280.0,https://www.kidaristudio.com,
건대,주식회사 유비케어,응용 소프트웨어 개발 및 공급업,Tech/Startup/SaaS,서울특별시 성동구 왕십리로,272.0,https://www.ubcare.co.kr,master@ubcare.co.kr
건대,롯데지주주식회사,경영 컨설팅업(경영지도사),Consulting/Professional Service,서울특별시 송파구 올림픽로,269.0,https://www.lotte.co.kr,
건대,(주)지아이티,유선 통신장비 제조업,Manufacturing/Industrial Ops,서울특별시 송파구 마천로,269.0,https://www.gitauto.com,
건대,한국인터텍테스팅서비스(주),기타 엔지니어링 서비스업,Consulting/Professional Service,서울특별시 성동구 아차산로5길,266.0,https://www.biztop.co.kr,
건대,(주)토문건축사사무소,건축 설계 및 관련 서비스업,Consulting/Professional Service,,265.0,https://skinnara.co.kr,
건대,다이닝브랜즈그룹 주식회사,상품 종합 도매업,Logistics/Trading,서울특별시 송파구 올림픽로,261.0,http://www.bhc.co.kr,info@brand.com
건대,쿠팡페이 주식회사,데이터베이스 및 온라인 정보 제공업,Tech/Startup/SaaS,서울특별시 송파구 송파대로,261.0,https://recipe.yorida.com,
건대,오픈핸즈주식회사,응용 소프트웨어 개발 및 공급업,Tech/Startup/SaaS,서울특별시 송파구 올림픽로35길,256.0,https://jcenter.kangnam.ac.kr,
