email,email2,email3,email4,email5,company_name,company_address,industry,category,employee_count,website,record_source_detail_1,description
,,,,,삼성에스디에스(주),서울특별시 송파구 올림픽로35길,응용 소프트웨어 개발 및 공급업,Tech/Startup/SaaS,11414.0,https://www.samsungsds.com,건대점,Tech/Startup/SaaS
info@musinsa.com,,,,,주식회사 무신사,서울특별시 성동구 아차산로13길,응용 소프트웨어 개발 및 공급업,Tech/Startup/SaaS,1817.0,https://www.musinsa.com,건대점,Tech/Startup/SaaS
info@miracom-inc.com,,,,,미라콤아이앤씨(주),서울특별시 송파구 올림픽로35길,응용 소프트웨어 개발 및 공급업,Tech/Startup/SaaS,1737.0,https://miracom-inc.com,건대점,Tech/Startup/SaaS
info@igloo.co.kr,,,,,(주)이글루코퍼레이션,서울특별시 송파구 정의로8길,응용 소프트웨어 개발 및 공급업,Tech/Startup/SaaS,1116.0,https://www.igloo.co.kr,건대점,Tech/Startup/SaaS
info@apr-in.com,,,,,주식회사 에이피알,서울특별시 송파구 올림픽로,응용 소프트웨어 개발 및 공급업,Tech/Startup/SaaS,612.0,https://www.apr-in.com,건대점,Tech/Startup/SaaS
info@wisewires.com,,,,,와이즈와이어즈(주),서울특별시 성동구 성수일로,응용 소프트웨어 개발 및 공급업,Tech/Startup/SaaS,454.0,https://www.wisewires.com,건대점,Tech/Startup/SaaS
help@thewc.co.kr,,,,,더화이트커뮤니케이션(주),서울특별시 성동구 성수이로24길,응용 소프트웨어 개발 및 공급업,Tech/Startup/SaaS,448.0,http://www.thewc.co.kr,건대점,Tech/Startup/SaaS
info@hyundaihds.co.kr,,,,,현대에이치디에스(주),서울특별시 송파구 송파대로,응용 소프트웨어 개발 및 공급업,Tech/Startup/SaaS,402.0,https://www.hyundaihds.co.kr,건대점,Tech/Startup/SaaS
help.notice@kakaocorp.com,,,,,에스코어주식회사,서울특별시 송파구 올림픽로35길,응용 소프트웨어 개발 및 공급업,Tech/Startup/SaaS,401.0,https://brunch.co.kr,건대점,Tech/Startup/SaaS
info@incar.co.kr,,,,,인카금융서비스(주),서울특별시 성동구 아차산로,응용 소프트웨어 개발 및 공급업,Tech/Startup/SaaS,389.0,https://www.incar.co.kr,건대점,Tech/Startup/SaaS
